order_no,customer_id,order_date,status,channel,payment_method,total_amount_krw 
1001059,201447,2025-12-17,배송완료,전화,현금,44583690
1001060,201514,2023-08-15,배송중,전화,카드,6906200
1001061,201596,2024-10-09,배송완료,전화,현금,89129920
1001062,200397,2025-08-11,결제완료,전화,카드,52738110
1001063,200831,2024-06-23,배송완료,전화,계좌이체,67973375
1001064,201131,2024-04-03,주문접수,전화,카드,193459990
1001065,201011,2024-04-29,반품,매장,카드,75848580
1001066,201000,2024-03-09,반품,전화,현금,89123645
1001067,201901,2024-12-27,주문접수,온라인,현금,15537970
1001068,200803,2024-01-04,주문접수,온라인,계좌이체,42587360
1001069,201910,2025-02-23,결제완료,온라인,카드,39256470
1001070,200055,2024-03-27,배송완료,전화,카드,5164830
1001071,201669,2023-05-18,배송중,영업사원,여신,1057700
1001072,201366,2023-12-11,배송완료,전화,여신,41501795
1001073,200275,2025-02-28,배송완료,영업사원,여신,58016500
1001074,200627,2025-06-07,배송완료,매장,카드,110678320
1001075,200726,2023-09-04,반품,매장,현금,74445985
1001076,200092,2023-04-10,배송완료,전화,여신,11930175
1001077,201309,2025-08-26,배송완료,매장,현금,135717230
1001078,201769,2024-11-13,배송중,온라인,계좌이체,91340895
1001079,200719,2023-10-24,결제완료,영업사원,현금,407400
1001080,200873,2023-09-10,배송완료,온라인,계좌이체,112907380
1001081,201285,2023-06-06,배송완료,전화,계좌이체,154084565
1001082,200868,2023-12-18,배송완료,매장,현금,97312490
1001083,201528,2025-01-24,배송완료,온라인,여신,19956100
1001084,201321,2025-07-31,배송완료,온라인,현금,35416305
1001085,200667,2025-09-14,결제완료,전화,현금,49477760
1001086,200423,2024-12-17,배송완료,전화,카드,21276200
1001087,201756,2023-10-16,취소,전화,여신,79140645
1001088,200382,2024-06-09,배송완료,매장,현금,149558890
1001089,200545,2023-08-06,배송완료,영업사원,여신,19066000
1001090,200534,2024-01-31,배송완료,온라인,계좌이체,137783410
1001091,201965,2023-11-15,결제완료,매장,현금,79400815
1001092,200939,2025-01-26,배송완료,매장,여신,15334200
1001093,200384,2024-09-10,주문접수,매장,현금,35268000
1001094,201453,2024-05-28,주문접수,전화,여신,16956945
1001095,200785,2023-05-08,취소,영업사원,현금,49425560
1001096,200222,2025-03-12,배송완료,매장,카드,11929410
1001097,201870,2023-12-16,배송완료,온라인,여신,19126635
1001098,201054,2023-03-27,취소,온라인,계좌이체,13657160
1001099,200448,2024-02-08,배송완료,영업사원,현금,18292050
1001100,201131,2023-08-27,배송완료,매장,계좌이체,84019960
1001101,200176,2023-08-26,배송중,전화,카드,12252000
1001102,200595,2023-08-14,배송완료,영업사원,계좌이체,20253800
1001103,201189,2023-09-05,배송완료,온라인,카드,48423100
1001104,200923,2024-09-10,취소,전화,여신,68376800
1001105,201267,2025-10-27,배송완료,영업사원,여신,123846440
1001106,201817,2024-10-31,반품,전화,카드,11085200
1001107,201862,2024-10-03,배송완료,온라인,계좌이체,3567100
1001108,200127,2025-11-25,배송완료,매장,현금,18930200
1001109,200375,2024-05-28,취소,전화,여신,18298000
1001110,200357,2025-03-15,배송완료,온라인,계좌이체,30088800
1001111,200642,2024-05-20,취소,영업사원,카드,30821610
1001112,200637,2023-10-03,배송중,영업사원,여신,61247280
1001113,200620,2023-04-17,반품,매장,계좌이체,53794825
1001114,201432,2023-03-15,취소,전화,여신,73947100
1001115,201648,2023-10-09,배송완료,매장,계좌이체,33673095
1001116,200995,2025-06-08,결제완료,온라인,계좌이체,56890200
1001117,201629,2025-11-13,배송중,온라인,현금,97839940
1001118,200370,2024-04-20,배송완료,영업사원,계좌이체,108406590
1001119,201382,2023-06-15,배송중,온라인,여신,50267260
1001120,200982,2025-02-06,배송완료,영업사원,계좌이체,89605595
1001121,201575,2023-05-25,배송완료,전화,카드,4096620
1001122,201252,2024-06-10,배송중,매장,계좌이체,90433320
1001123,201450,2023-03-12,결제완료,전화,현금,135204715
1001124,200220,2024-04-16,반품,영업사원,계좌이체,69763895
1001125,201018,2023-10-19,배송완료,매장,계좌이체,54006195
1001126,200444,2023-08-18,배송완료,매장,현금,893970
1001127,201935,2024-09-21,결제완료,영업사원,계좌이체,48937500
1001128,201552,2025-10-16,취소,온라인,카드,8410100
1001129,201096,2025-10-28,배송완료,전화,카드,50017740
1001130,200055,2024-04-26,주문접수,매장,현금,78178820
1001131,200156,2024-06-01,배송완료,전화,여신,6240200
1001132,200129,2025-05-19,배송중,영업사원,카드,127517650
1001133,200430,2023-09-20,반품,전화,계좌이체,50915150
1001134,200214,2023-03-30,배송완료,전화,여신,2190600
1001135,200004,2023-05-15,배송완료,전화,계좌이체,50530050
1001136,200097,2025-08-25,결제완료,영업사원,여신,84748550
1001137,200268,2023-06-24,배송완료,영업사원,여신,696150
1001138,201006,2025-05-17,배송완료,온라인,계좌이체,63549740
1001139,201259,2025-07-23,배송중,전화,현금,15306720
1001140,200240,2024-06-01,배송완료,영업사원,현금,115677420
1001141,201491,2023-03-24,배송완료,전화,계좌이체,20129600
1001142,201858,2023-08-06,결제완료,매장,여신,88772860
1001143,200167,2024-10-09,배송완료,온라인,현금,95020850
1001144,200404,2025-07-28,배송중,전화,계좌이체,31792940
1001145,201380,2024-10-16,배송완료,영업사원,여신,14780905
1001146,200959,2025-10-27,취소,온라인,현금,49963950
1001147,201013,2023-05-20,반품,영업사원,카드,34615900
1001148,201828,2024-07-26,배송완료,영업사원,여신,35714700
1001149,200991,2023-06-17,배송완료,전화,여신,63190400
1001150,200963,2023-06-18,배송완료,영업사원,카드,35395955
1001151,200473,2024-05-11,배송완료,영업사원,여신,43769275
1001152,201583,2025-12-21,배송중,온라인,여신,47209280
1001153,200906,2025-10-21,취소,온라인,여신,128916110
1001154,201573,2024-08-13,배송완료,온라인,카드,72015000
1001155,200341,2025-08-07,배송완료,온라인,계좌이체,39712000
1001156,200556,2024-05-10,취소,전화,계좌이체,75546865
1001157,200779,2023-10-10,배송완료,온라인,카드,20689900
1001158,200233,2023-02-25,배송중,온라인,계좌이체,3280160
1001159,201510,2025-04-03,배송중,온라인,현금,14629500
1001160,200543,2023-12-02,배송중,온라인,카드,132824375
1001161,201705,2025-04-18,배송완료,온라인,현금,42565850
1001162,201743,2024-11-05,배송완료,전화,현금,168205340
1001163,201982,2023-03-06,배송완료,매장,현금,39434800
1001164,201047,2023-04-25,결제완료,온라인,여신,43857320
1001165,201467,2025-11-07,배송완료,영업사원,여신,72733520
1001166,200519,2024-08-07,결제완료,전화,카드,68519800
1001167,200100,2025-06-09,배송완료,영업사원,여신,90400900
1001168,201216,2024-04-11,결제완료,전화,현금,54438650
1001169,201659,2024-12-26,결제완료,매장,여신,130011090
1001170,201951,2023-10-06,배송완료,매장,카드,54715200
1001171,201405,2025-03-18,결제완료,전화,계좌이체,40789440
1001172,201381,2025-11-07,취소,온라인,여신,39310240
1001173,201212,2024-06-25,배송중,온라인,계좌이체,27389640
1001174,200919,2024-01-31,결제완료,전화,카드,23872650
1001175,200331,2024-03-12,배송중,영업사원,현금,11309370
1001176,201456,2023-03-04,결제완료,온라인,계좌이체,44287930
1001177,201132,2025-02-12,배송완료,온라인,계좌이체,3368300
1001178,201449,2023-09-26,배송완료,영업사원,여신,78105405
1001179,200987,2024-07-12,배송완료,영업사원,계좌이체,104104275
1001180,200164,2024-12-06,배송완료,영업사원,여신,43288700
1001181,201550,2023-12-05,배송완료,영업사원,현금,18915750
1001182,200444,2025-10-14,배송완료,매장,카드,32218980
1001183,201139,2025-07-17,배송완료,온라인,현금,61856520
1001184,201060,2024-11-27,배송완료,온라인,계좌이체,39013935
1001185,200844,2023-02-07,배송완료,온라인,여신,1198000
1001186,200175,2023-11-17,반품,전화,계좌이체,26839400
1001187,200503,2024-10-24,배송중,온라인,현금,12510400
1001188,201661,2025-11-22,결제완료,온라인,카드,57509400
1001189,201627,2025-06-07,주문접수,영업사원,여신,64018365
1001190,201331,2024-12-16,배송완료,전화,카드,42254400
1001191,200608,2025-06-15,배송완료,영업사원,계좌이체,72270400
1001192,201028,2025-05-29,반품,매장,카드,5340800
1001193,200632,2024-04-07,배송중,영업사원,현금,52462235
1001194,201357,2024-02-01,취소,영업사원,현금,113141175
1001195,201092,2024-10-06,배송완료,영업사원,현금,95634575
1001196,200444,2025-07-19,배송완료,매장,카드,5576040
1001197,200884,2024-06-28,배송완료,영업사원,현금,93433065
1001198,200140,2025-11-08,주문접수,매장,여신,78681100
1001199,201952,2024-03-02,반품,전화,여신,82238210
1001200,201352,2025-11-02,주문접수,전화,여신,39407400
1001201,200780,2023-02-10,배송완료,전화,카드,42420150
1001202,201682,2024-05-18,주문접수,영업사원,카드,195120200
1001203,201509,2025-10-17,주문접수,온라인,현금,109521610
1001204,201502,2023-06-12,결제완료,매장,카드,134987490
1001205,201857,2025-01-02,취소,매장,현금,52533115
1001206,201558,2025-10-19,배송완료,영업사원,계좌이체,74371940
1001207,200857,2024-02-29,결제완료,전화,카드,98109880
1001208,200030,2025-08-02,결제완료,온라인,현금,5465500
1001209,201472,2024-07-13,반품,영업사원,여신,110114780
1001210,200800,2023-01-15,배송완료,영업사원,여신,70943110
1001211,201910,2025-02-01,주문접수,전화,계좌이체,75088730
1001212,201201,2025-06-11,배송완료,영업사원,계좌이체,53710440
1001213,201216,2025-10-23,배송완료,매장,카드,71424900
1001214,200883,2023-06-07,결제완료,전화,카드,106423150
1001215,200127,2025-02-17,주문접수,매장,계좌이체,53308490
1001216,201639,2023-06-29,배송완료,매장,계좌이체,9686250
1001217,200496,2023-02-10,취소,전화,카드,11113200
1001218,200821,2024-12-25,배송완료,전화,계좌이체,147785315
1001219,200844,2025-07-25,취소,영업사원,카드,70191360
1001220,201345,2024-05-09,배송완료,영업사원,현금,89281090
1001221,200140,2025-08-08,배송중,온라인,여신,19463760
1001222,200265,2024-06-24,주문접수,온라인,여신,111491020
1001223,201979,2025-07-26,배송완료,전화,계좌이체,51881910
1001224,201714,2023-01-19,배송완료,영업사원,계좌이체,12577400
1001225,201693,2024-09-16,주문접수,매장,계좌이체,27867110
1001226,201233,2024-03-10,반품,전화,계좌이체,73601280
1001227,201380,2023-07-07,반품,영업사원,현금,1439050
1001228,200642,2025-12-15,주문접수,온라인,계좌이체,4698000
1001229,201811,2024-08-02,배송완료,온라인,계좌이체,48618300
1001230,201511,2024-05-20,반품,온라인,카드,126202405
1001231,201859,2023-01-25,배송완료,매장,현금,28942200
1001232,201439,2024-05-09,취소,영업사원,현금,64047480
1001233,200703,2024-06-10,배송완료,전화,여신,934325
1001234,201940,2024-04-06,배송완료,영업사원,카드,36684430
1001235,200696,2024-05-20,배송중,전화,계좌이체,65375470
1001236,201304,2024-05-26,배송중,영업사원,계좌이체,87798220
1001237,200441,2023-05-24,주문접수,전화,현금,127056300
1001238,200947,2023-06-29,반품,온라인,여신,19860480
1001239,201754,2024-10-28,배송중,매장,여신,9999900
1001240,200515,2024-03-17,배송완료,매장,계좌이체,95847495
1001241,201414,2023-01-16,배송중,온라인,여신,106890355
1001242,201888,2024-10-16,배송중,매장,현금,25964000
1001243,200447,2023-03-22,배송완료,전화,여신,113795880
1001244,200758,2025-04-26,배송완료,전화,현금,25757050
1001245,201646,2025-05-12,배송중,전화,카드,39711040
1001246,200685,2024-08-30,결제완료,전화,카드,14564120
1001247,201675,2025-11-20,배송완료,전화,여신,109833810
1001248,200026,2023-03-27,결제완료,매장,여신,15729880
1001249,201509,2024-07-11,배송완료,전화,카드,6875490
1001250,201500,2024-06-27,배송완료,온라인,현금,58728825
1001251,200144,2024-08-06,배송완료,매장,계좌이체,81741100
1001252,200250,2023-02-03,배송중,매장,계좌이체,42281180
1001253,201244,2025-01-26,배송완료,전화,계좌이체,61827120
1001254,201236,2023-04-22,취소,영업사원,계좌이체,19702705
1001255,200637,2024-09-13,배송완료,영업사원,계좌이체,103535175
1001256,201800,2024-12-30,취소,매장,현금,29777000
1001257,201613,2025-05-24,배송완료,매장,현금,80158530
1001258,201471,2025-04-25,취소,영업사원,여신,64611695
1001259,200216,2023-04-05,배송완료,매장,여신,54402900
1001260,201552,2025-11-30,결제완료,온라인,여신,151420500
1001261,201274,2024-10-25,배송완료,온라인,계좌이체,18794000
1001262,201425,2024-04-26,주문접수,매장,여신,133298120
1001263,201978,2025-10-08,배송중,매장,계좌이체,24542000
1001264,201906,2023-02-26,배송완료,매장,계좌이체,44663500
1001265,201188,2023-07-23,배송완료,매장,카드,23058850
1001266,200597,2023-01-10,배송중,온라인,여신,15197400
1001267,200992,2024-01-19,배송완료,온라인,계좌이체,84992000
1001268,200201,2025-07-23,배송완료,온라인,카드,26434650
1001269,201949,2025-08-06,배송완료,영업사원,카드,35734000
1001270,200764,2023-05-29,배송완료,온라인,계좌이체,106917980
1001271,200989,2023-10-16,배송완료,매장,카드,9393000
1001272,201764,2024-02-18,배송완료,매장,계좌이체,79848755
1001273,200544,2023-06-05,배송완료,매장,현금,79362600
1001274,200303,2023-03-29,취소,영업사원,여신,9703200
1001275,201156,2024-12-10,결제완료,온라인,카드,22154680
1001276,201535,2023-06-20,배송완료,전화,계좌이체,162687415
1001277,201039,2025-03-24,취소,매장,카드,40395800
1001278,201260,2024-09-04,배송완료,전화,카드,12801800
1001279,200125,2024-12-02,배송완료,전화,여신,57104800
1001280,201903,2025-09-29,배송완료,영업사원,카드,40864790
1001281,201503,2023-01-15,배송중,전화,계좌이체,32013600
1001282,200660,2024-11-02,결제완료,영업사원,계좌이체,8012800
1001283,200931,2025-06-25,배송완료,매장,계좌이체,12557520
1001284,200023,2025-01-09,배송완료,영업사원,카드,57794800
1001285,200150,2023-03-22,배송완료,영업사원,현금,9410180
1001286,201753,2025-08-30,주문접수,영업사원,현금,1624860
1001287,201108,2024-12-21,취소,영업사원,카드,80255520
1001288,200631,2024-09-01,배송완료,온라인,카드,9691020
1001289,201872,2023-09-12,배송완료,영업사원,카드,50788595
1001290,201197,2024-11-23,배송완료,온라인,계좌이체,25423700
1001291,201812,2023-11-09,배송중,매장,카드,118368535
1001292,201265,2024-12-24,배송중,매장,현금,38478150
1001293,201452,2025-10-25,배송완료,전화,카드,42678180
1001294,201832,2024-05-12,배송중,매장,여신,94291100
1001295,200509,2024-04-21,배송완료,영업사원,여신,98428840
1001296,200341,2023-11-15,배송완료,온라인,여신,30367800
1001297,200869,2024-02-03,배송완료,매장,카드,15128640
1001298,200767,2025-03-26,결제완료,영업사원,계좌이체,38090180
1001299,201817,2024-03-20,배송완료,전화,현금,82699920
1001300,201913,2023-10-29,배송완료,전화,현금,18636200
1001301,201163,2024-11-11,배송완료,전화,여신,53332230
1001302,200487,2025-11-01,배송완료,매장,현금,36418000
1001303,201353,2025-03-04,배송완료,온라인,현금,154200330
1001304,200492,2023-01-05,배송완료,매장,계좌이체,33396820
1001305,200100,2024-11-26,반품,영업사원,여신,69814990
1001306,201925,2023-12-11,배송완료,영업사원,카드,6068400
1001307,200872,2025-05-11,결제완료,온라인,여신,117661870
1001308,201225,2023-03-17,배송완료,영업사원,카드,2807100
1001309,200717,2023-01-19,배송완료,영업사원,카드,27752100
1001310,200004,2024-06-04,결제완료,영업사원,계좌이체,35555600
1001311,201309,2023-10-01,배송완료,전화,계좌이체,62561880
1001312,200762,2023-03-17,주문접수,전화,현금,76603720
1001313,200280,2024-06-11,배송완료,전화,현금,92560960
1001314,200936,2024-10-24,배송중,영업사원,여신,166702200
1001315,201178,2025-08-18,배송중,전화,카드,85238975
1001316,200649,2023-01-10,결제완료,온라인,계좌이체,7859530
1001317,201087,2024-12-29,결제완료,온라인,여신,60739990
1001318,200669,2023-06-17,주문접수,전화,계좌이체,9209970
1001319,200798,2023-12-05,배송중,전화,계좌이체,61750200
1001320,200659,2025-04-10,배송완료,온라인,여신,112771225
1001321,201481,2025-05-04,취소,전화,계좌이체,28054210
1001322,200677,2023-06-05,배송완료,영업사원,현금,79794700
1001323,201583,2023-12-14,주문접수,영업사원,여신,98145925
1001324,200522,2023-04-19,배송완료,온라인,카드,63737610
1001325,201148,2024-06-21,결제완료,전화,계좌이체,18808870
1001326,201715,2024-11-28,배송완료,매장,현금,36655400
1001327,200855,2023-05-25,배송완료,전화,여신,33578780
1001328,200157,2023-05-22,배송완료,매장,카드,90140325
1001329,200588,2023-07-29,결제완료,전화,카드,104134930
1001330,201084,2024-09-09,배송완료,온라인,계좌이체,96742830
1001331,201402,2023-05-17,배송완료,영업사원,여신,74870820
1001332,200932,2024-05-06,주문접수,온라인,계좌이체,60470505
1001333,200513,2025-10-29,배송완료,영업사원,계좌이체,14413100
1001334,201176,2024-10-07,배송완료,매장,계좌이체,14410320
1001335,201337,2023-06-18,배송완료,전화,카드,2881500
1001336,200952,2023-02-16,배송완료,온라인,현금,56029900
1001337,201295,2023-09-10,결제완료,매장,현금,60596150
1001338,201354,2023-10-06,배송완료,온라인,계좌이체,155090410
1001339,200469,2025-01-09,배송완료,매장,현금,96076740
1001340,201087,2023-06-23,배송중,전화,여신,146417240
1001341,201346,2024-08-23,반품,매장,여신,105424000
1001342,201015,2025-01-18,배송완료,온라인,현금,103141760
1001343,200770,2025-07-13,취소,전화,카드,49262865
1001344,200946,2025-09-17,취소,전화,여신,53928000
1001345,200088,2024-05-23,배송완료,영업사원,계좌이체,6509000
1001346,201643,2023-06-29,배송완료,매장,계좌이체,60647820
1001347,201781,2023-09-15,결제완료,온라인,현금,28983080
1001348,200735,2025-08-16,배송완료,전화,카드,68917720
1001349,201159,2024-05-05,배송완료,전화,현금,8135615
1001350,200245,2025-04-26,배송완료,전화,여신,14883120
1001351,200385,2024-01-19,배송완료,매장,카드,17610780
1001352,201944,2023-10-25,배송중,영업사원,여신,119391960
1001353,201515,2024-02-10,배송완료,매장,계좌이체,30566765
1001354,201561,2024-12-12,주문접수,매장,카드,13026600
1001355,201928,2023-09-04,배송완료,온라인,카드,39715080
1001356,201169,2025-10-25,주문접수,영업사원,카드,11444340
1001357,200861,2023-11-04,배송완료,영업사원,여신,4708200
1001358,200423,2024-12-23,배송완료,온라인,현금,97058200
1001359,201802,2023-01-18,주문접수,매장,카드,12470460
1001360,200447,2023-09-19,배송완료,온라인,계좌이체,121225700
1001361,200027,2024-05-12,주문접수,온라인,카드,127088800
1001362,200193,2023-12-02,배송완료,온라인,계좌이체,12997440
1001363,201306,2025-03-12,배송완료,영업사원,현금,54407375
1001364,201191,2025-11-21,배송완료,영업사원,카드,23519160
1001365,201469,2023-12-21,배송중,전화,현금,30990420
1001366,200259,2025-07-06,반품,전화,여신,98648500
1001367,201027,2025-07-20,배송중,온라인,현금,64826240
1001368,200328,2025-10-31,배송완료,온라인,계좌이체,67497540
1001369,200820,2023-06-23,배송완료,전화,현금,30617100
1001370,201451,2023-02-18,취소,전화,계좌이체,26263800
1001371,201375,2024-06-08,결제완료,영업사원,현금,84758100
1001372,201281,2024-11-27,배송완료,전화,현금,79815200
1001373,201476,2025-03-30,결제완료,매장,여신,70398295
1001374,200063,2025-04-30,배송완료,매장,카드,67525775
1001375,201849,2024-04-02,취소,영업사원,여신,57389400
1001376,201746,2025-09-03,배송완료,전화,현금,26188200
1001377,201031,2024-04-03,반품,영업사원,현금,133237940
1001378,201005,2024-08-10,주문접수,전화,여신,23496670
1001379,201677,2025-07-11,배송완료,전화,현금,20401300
1001380,200872,2025-12-26,배송완료,온라인,카드,46102170
1001381,201741,2023-11-26,배송완료,영업사원,여신,70547000
1001382,200262,2024-10-09,배송완료,전화,여신,74745380
1001383,200251,2024-10-08,배송중,전화,현금,17549840
1001384,200804,2025-06-22,취소,영업사원,계좌이체,33474050
1001385,201680,2023-03-08,배송중,온라인,계좌이체,115312060
1001386,200294,2023-08-12,배송완료,전화,계좌이체,27788000
1001387,200735,2023-05-19,배송완료,매장,현금,75487730
1001388,201157,2025-07-07,배송중,영업사원,계좌이체,49800455
1001389,201724,2025-12-08,배송중,영업사원,계좌이체,22678960
1001390,201094,2025-08-02,배송완료,매장,계좌이체,95411565
1001391,201415,2024-02-23,배송중,전화,카드,40898700
1001392,201129,2024-10-29,배송완료,영업사원,카드,13101760
1001393,200699,2025-06-15,주문접수,매장,카드,147695930
1001394,201888,2023-11-16,배송완료,영업사원,카드,83143880
1001395,200775,2025-06-15,배송완료,온라인,계좌이체,74819690
1001396,201892,2025-04-09,배송완료,매장,현금,68396765
1001397,200909,2024-09-07,반품,온라인,카드,71567550
1001398,201672,2025-12-02,배송완료,전화,여신,12474000
1001399,200976,2024-05-26,결제완료,온라인,계좌이체,122496200
1001400,201033,2024-03-05,반품,전화,여신,45941985
1001401,200416,2024-05-08,주문접수,영업사원,계좌이체,102227600
1001402,200825,2024-01-29,배송완료,전화,계좌이체,17459400
1001403,200951,2023-07-01,배송완료,영업사원,카드,115986030
1001404,200429,2024-12-06,배송중,매장,카드,61045380
1001405,201632,2023-11-14,배송완료,온라인,현금,75076430
1001406,200563,2024-11-30,배송완료,매장,현금,17303220
1001407,201104,2025-12-21,취소,영업사원,계좌이체,43271000
1001408,200058,2024-02-20,취소,전화,카드,29685075
1001409,200632,2025-07-03,배송중,영업사원,계좌이체,82516330
1001410,201742,2025-04-15,취소,매장,계좌이체,59082530
1001411,200042,2023-12-15,주문접수,전화,여신,32659930
1001412,200086,2023-07-31,배송완료,전화,여신,54453080
1001413,200577,2023-06-15,배송중,영업사원,계좌이체,25409680
1001414,201575,2025-02-07,배송완료,온라인,현금,66366300
1001415,201537,2023-01-06,배송완료,온라인,현금,79990820
1001416,201080,2025-05-24,배송완료,온라인,카드,59577480
1001417,200906,2024-06-20,배송중,전화,카드,40873260
1001418,201976,2023-02-18,배송완료,매장,현금,91553500
1001419,200314,2024-03-09,결제완료,전화,카드,50983290
1001420,200346,2024-05-14,배송중,영업사원,여신,2039175
1001421,200194,2024-06-01,배송완료,영업사원,현금,17786900
1001422,200731,2024-06-07,결제완료,매장,현금,20314800
1001423,201544,2023-12-31,배송완료,전화,계좌이체,7722600
1001424,200227,2025-06-21,취소,매장,현금,90758120
1001425,201536,2023-05-10,배송완료,매장,현금,63819180
1001426,200606,2023-04-07,결제완료,전화,계좌이체,58311800
1001427,201727,2024-12-30,결제완료,영업사원,현금,21645600
1001428,201682,2023-07-16,배송완료,영업사원,카드,55286035
1001429,200686,2023-02-26,주문접수,영업사원,여신,2855000
1001430,200349,2023-08-03,배송완료,전화,여신,18063900
1001431,201173,2024-04-19,배송중,전화,카드,3744520
1001432,200061,2024-02-15,결제완료,전화,여신,51989570
1001433,201545,2024-03-02,배송완료,영업사원,카드,52076055
1001434,201572,2024-08-21,주문접수,매장,계좌이체,66502240
1001435,200729,2023-09-29,주문접수,전화,여신,56325600
1001436,201996,2025-06-22,배송완료,온라인,여신,52377830
1001437,200646,2023-11-03,배송완료,온라인,계좌이체,137774780
1001438,201959,2025-01-02,배송완료,영업사원,계좌이체,87179480
1001439,200595,2023-03-03,배송완료,영업사원,계좌이체,96295030
1001440,201377,2025-07-09,주문접수,온라인,여신,13659480
1001441,200940,2025-12-29,배송완료,온라인,카드,106866040
1001442,201359,2024-02-15,결제완료,온라인,카드,145285230
1001443,200601,2023-08-13,결제완료,영업사원,여신,72687285
1001444,201643,2023-05-20,결제완료,전화,카드,190694670
1001445,200244,2023-03-07,배송완료,영업사원,계좌이체,91756380
1001446,201125,2023-05-17,배송중,전화,계좌이체,64409100
1001447,200529,2023-05-12,배송중,매장,카드,91767580
1001448,201447,2024-07-23,배송완료,전화,현금,72578180
1001449,201122,2023-07-15,배송완료,영업사원,카드,37539100
1001450,200306,2024-05-03,결제완료,온라인,여신,40523000
1001451,201575,2025-09-22,배송완료,영업사원,계좌이체,73636760
1001452,201521,2024-07-01,배송완료,영업사원,현금,188348105
1001453,200565,2025-07-01,결제완료,전화,계좌이체,51481710
1001454,201995,2023-10-20,배송완료,전화,계좌이체,66247390
1001455,201435,2023-02-11,배송완료,매장,카드,50282400
1001456,200838,2025-03-23,주문접수,영업사원,여신,52984485
1001457,200437,2024-10-29,배송완료,온라인,여신,28448000
1001458,201861,2025-04-13,배송완료,전화,현금,7520015
1001459,200505,2023-05-28,배송완료,전화,여신,53336550
1001460,200259,2024-11-18,배송완료,온라인,여신,31362380
1001461,201421,2023-08-09,배송완료,영업사원,계좌이체,12493920
1001462,200192,2023-10-04,배송완료,영업사원,여신,59280760
1001463,200832,2024-10-23,배송완료,매장,현금,5408720
1001464,200322,2023-08-22,결제완료,온라인,현금,54032420
1001465,201135,2023-05-19,배송완료,전화,현금,132222320
1001466,201705,2025-02-01,배송완료,영업사원,카드,10699600
1001467,201506,2024-12-13,배송중,온라인,계좌이체,69305880
1001468,201582,2024-01-27,배송완료,온라인,여신,139861010
1001469,201328,2024-01-19,배송완료,매장,여신,84577355
1001470,201798,2025-12-02,배송완료,온라인,카드,58442400
1001471,201279,2025-10-05,배송완료,전화,여신,28219220
1001472,200158,2024-10-17,배송완료,온라인,카드,66205975
1001473,200553,2025-12-17,결제완료,전화,카드,106688100
1001474,201586,2024-05-29,배송완료,매장,카드,47554500
1001475,201491,2023-01-30,배송완료,온라인,현금,64413000
1001476,201747,2025-11-06,배송완료,매장,현금,3780700
1001477,201459,2023-02-21,배송완료,온라인,현금,8269820
1001478,200772,2024-03-29,배송완료,전화,여신,48683530
1001479,200046,2023-10-08,반품,영업사원,여신,31329100
1001480,201589,2024-06-12,배송완료,매장,여신,11522520
1001481,201592,2023-11-22,배송완료,온라인,계좌이체,64431900
1001482,200797,2023-01-10,주문접수,영업사원,현금,13964775
1001483,200855,2024-12-25,배송완료,전화,여신,6050170
1001484,201743,2025-11-15,배송중,전화,계좌이체,26738100
1001485,201899,2025-10-23,배송중,매장,계좌이체,73981260
1001486,201575,2023-09-18,주문접수,영업사원,여신,1198000
1001487,200522,2023-07-12,취소,영업사원,카드,68991835
1001488,201033,2023-01-28,결제완료,전화,카드,81696040
1001489,201208,2023-12-19,배송완료,매장,여신,88527185
1001490,201104,2024-04-28,배송완료,매장,현금,35513700
1001491,201977,2024-11-25,배송중,영업사원,카드,62245285
1001492,201389,2023-02-24,배송완료,매장,현금,73112400
1001493,200196,2024-07-31,결제완료,온라인,여신,84287955
1001494,200865,2025-09-23,반품,온라인,현금,18224540
1001495,200004,2024-04-16,배송완료,온라인,여신,27941450
1001496,200961,2025-09-01,결제완료,매장,계좌이체,28984000
1001497,200275,2024-06-24,배송완료,온라인,현금,154935575
1001498,200383,2023-07-10,배송완료,매장,여신,43328190
1001499,201458,2025-12-30,배송완료,전화,여신,91760080
1001500,201542,2025-08-30,배송완료,전화,현금,17648580
1001501,200835,2023-06-16,주문접수,영업사원,계좌이체,65929625
1001502,201470,2025-04-28,결제완료,전화,현금,5438880
1001503,201598,2024-11-02,반품,전화,여신,116375740
1001504,200438,2025-10-09,배송완료,영업사원,여신,92523955
1001505,201168,2023-06-25,결제완료,영업사원,여신,48843360
1001506,201221,2023-04-29,배송완료,온라인,여신,134063380
1001507,200912,2023-07-21,배송중,온라인,현금,4685200
1001508,201293,2024-12-24,배송완료,영업사원,현금,56413175
1001509,201442,2023-09-21,배송중,매장,계좌이체,72953300
1001510,200671,2024-04-20,반품,전화,여신,32699115
1001511,200661,2023-04-09,배송완료,영업사원,카드,9430750
1001512,200526,2023-01-03,배송완료,영업사원,여신,112483660
1001513,201818,2025-04-24,배송중,영업사원,여신,36355240
1001514,201025,2024-05-16,결제완료,매장,여신,8593000
1001515,201906,2025-01-31,결제완료,온라인,여신,57682310
1001516,201986,2023-07-11,결제완료,온라인,계좌이체,117164880
1001517,201393,2025-02-14,배송완료,전화,현금,71493280
1001518,200457,2023-03-20,배송중,영업사원,여신,75222000
1001519,200446,2023-02-03,배송완료,영업사원,카드,27180915
1001520,201785,2024-09-07,주문접수,영업사원,계좌이체,86757540
